filename,ZANumber,nodesNumber,atom_mul,atom_connection
ITR-PPT 1,11,11,{ZA9:16;ZA11:8;ZA6:4;ZA1:4;ZA3:4;ZA4:8;ZA2:4;ZA7:8;ZA10:8;ZA8:4;ZA5:8},{ZA11:3;ZA3:6;ZA1:5;ZA6:8;ZA9:3;ZA5:6;ZA2:7;ZA4:7;ZA7:5;ZA10:3;ZA8:8}
ITT-PPT 1,7,7,{ZA4:6;ZA2:3;ZA7:1;ZA1:4;ZA6:6;ZA3:3;ZA5:1},{ZA5:14;ZA3:12;ZA1:4;ZA6:3;ZA2:6;ZA4:5;ZA7:8}
ITW-PPT 1,3,3,{ZA3:4;ZA1:2;ZA2:2},{ZA2:16;ZA3:5;ZA1:6}
IWR-PPT 1,9,9,{ZA4:4;ZA2:4;ZA8:4;ZA7:2;ZA5:4;ZA9:8;ZA6:4;ZA1:2;ZA3:2},{ZA5:6;ZA8:4;ZA7:8;ZA4:4;ZA2:6;ZA1:6;ZA6:5;ZA3:14;ZA9:3}
IWS-PPT 1,10,10,{ZA4:8;ZA2:8;ZA7:4;ZA8:4;ZA10:16;ZA5:8;ZA9:16;ZA1:8;ZA6:2;ZA3:8},{ZA5:5;ZA2:8;ZA4:8;ZA7:6;ZA8:4;ZA10:3;ZA3:9;ZA6:6;ZA1:6;ZA9:3}
IWV-PPT 1,5,5,{ZA2:4;ZA4:16;ZA3:8;ZA5:32;ZA1:4},{ZA4:3;ZA2:40;ZA1:6;ZA5:4;ZA3:9}
IWW-PPT 1,14,14,{ZA2:4;ZA4:8;ZA12:4;ZA7:4;ZA10:2;ZA8:4;ZA14:8;ZA13:8;ZA5:2;ZA9:4;ZA11:4;ZA3:2;ZA6:2;ZA1:4},{ZA5:4;ZA13:3;ZA14:3;ZA12:4;ZA8:7;ZA10:8;ZA7:7;ZA4:7;ZA2:11;ZA1:6;ZA6:6;ZA3:14;ZA11:4;ZA9:5}
JBW-PPT 1,2,2,{ZA1:2;ZA2:2},{ZA2:4;ZA1:6}
JNT-NT,11,11,{ZA4:4;ZA2:2;ZA10:4;ZA7:4;ZA8:4;ZA5:4;ZA9:2;ZA11:4;ZA6:2;ZA1:4;ZA3:4},{ZA11:3;ZA3:3;ZA1:3;ZA6:6;ZA9:12;ZA5:3;ZA2:4;ZA4:3;ZA8:3;ZA10:3;ZA7:3}
JOZ-PPT 1,1,1,{ZA1:4},{ZA1:12}
JRY-NT,6,6,{ZA5:8;ZA3:8;ZA1:8;ZA6:8;ZA2:4;ZA4:4},{ZA2:4;ZA4:4;ZA5:3;ZA3:3;ZA6:3;ZA1:3}
JSN-PPT 1,2,2,{ZA1:2;ZA2:2},{ZA1:6;ZA2:14}
